metraj,Sale Sakht,otagh,location,price,floor
۱۳۸,۱۴۰۲,۳,دقایقی پیش در تهران، چیتگر,۱٬۶۵۶٬۰۰۰٬۰۰۰ تومان,۱۲
۱۰۵,۱۳۹۳,۲,دقایقی پیش در تهران، جنت‌آباد جنوبی,۱۰٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۵
۷۸,۱۴۰۲,۲,دقایقی پیش در تهران، وردآورد,۵٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۴ از ۶
۹۸,۱۳۸۴,۲,دقایقی پیش در تهران، گیشا (کوی نصر),۱۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲
۸۵,۱۳۸۶,۲,دقایقی پیش در تهران، صادقیه، فلکه دوم صادقیه (بزرگراه جناح),۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۴
۱۸۳,۱۳۹۹,۳,دقایقی پیش در تهران، فرمانیه,۳۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۵
۱۹۴,۱۴۰۲,۳,لحظاتی پیش در تهران، پاسداران,۲۱٬۹۲۲٬۰۰۰٬۰۰۰ تومان,۱۱ از ۱۱
۱۳۱,۱۴۰۰,۲,دقایقی پیش در تهران، شهرک امید,۱۶٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۱۴
۹۳,۱۴۰۲,۲,دقایقی پیش در تهران، چیتگر,۸٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۱۷
۶۳,۱۳۹۲,۱,دقایقی پیش در تهران، تهران‌سر,۴٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۱ از ۵
۳۰۰,۱۴۰۱,۳,لحظاتی پیش در تهران، ولنجک,۹۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۱ از ۱۲
۱۳۴,۱۳۸۸,۲,لحظاتی پیش در تهران، شهرک راه‌آهن,۱۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱ از ۳
۲۰۰,۱۳۹۷,۳,لحظاتی پیش در تهران، الهیه,۳۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۶ از ۸
۹۰,۱۴۰۰,۲,لحظاتی پیش در تهران، زنجان,۶٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۱ از ۵
۱۴۱,۱۴۰۱,۳,لحظاتی پیش در تهران، سعادت‌آباد,۳۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳
۱۰۳,۱۴۰۲,۲,دقایقی پیش در تهران، پاسداران,۱۲٬۷۷۲٬۰۰۰٬۰۰۰ تومان,۴
۱۱۰,۱۳۸۹,۲,دقایقی پیش در تهران، نیاوران,۱۵٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱ از ۵
۱۳۲,۱۳۹۵,۳,دقایقی پیش در تهران، کوی فردوس,۱۲٬۹۵۰٬۰۰۰٬۰۰۰ تومان,۲
۱۰۶,۱۴۰۲,۲,دقایقی پیش در تهران، هروی,۱۳٬۷۸۰٬۰۰۰٬۰۰۰ تومان,۶
۱۲۵,۱۳۹۷,۲,دقایقی پیش در تهران، پونک,۱۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۵
۱۲۸,۱۴۰۲,۲,دقایقی پیش در تهران، دریاچه شهدای خلیج فارس,۳٬۲۰۰٬۰۰۵٬۰۰۰ تومان,۶ از ۱۱
۱۰۶,۱۳۹۹,۲,دقایقی پیش در تهران، جنت‌آباد مرکزی,۱۴٬۳۹۰٬۰۰۰٬۰۰۰ تومان,۶
۱۳۰,۱۴۰۱,۳,دقایقی پیش در تهران، پاسداران,۱۴٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۷
۹۴,۱۴۰۲,۲,دقایقی پیش در تهران، وردآورد,۲٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۸ از ۱۱
۹۰,۱۳۹۴,۲,دقایقی پیش در تهران، سلیمانی,۴٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۲ از ۴
۹۶,۱۴۰۱,۲,دقایقی پیش در تهران، مبارک‌آباد بهشتی,۲٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۲ از ۳
۱۱۰,۱۴۰۱,۳,دقایقی پیش در تهران، پاسداران,۱۲٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۶
۱۶۷,۱۳۹۴,۳,دقایقی پیش در تهران، بهجت‌آباد,۱۶٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۴ از ۵
۱۴۰,۱۳۸۲,۳,دقایقی پیش در تهران، سعادت‌آباد,۱۹٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱ از ۲
۱۱۰,۱۴۰۰,۲,دقایقی پیش در تهران، پاسداران,۱۲٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۳
۱۰۰,۱۴۰۲,۱,دقایقی پیش در تهران، سرو آزاد,۳٬۳۵۰٬۰۰۰٬۰۰۰ تومان,۲۴ از ۳۰
۵۵,۱۳۹۸,۱,دقایقی پیش در تهران، شهرک تختی,۱٬۷۰۵٬۰۰۰٬۰۰۰ تومان,۲
۱۸۳,۱۴۰۲,۳,دقایقی پیش در تهران، هروی,۲۰٬۶۷۹٬۰۰۰٬۰۰۰ تومان,۴
۱۳۰,۱۴۰۲,۳,دقایقی پیش در تهران، چیتگر,۴٬۲۲۰٬۰۰۰٬۰۰۰ تومان,۲۰ از ۲۰
۱۱۱,۱۳۹۷,۳,دقایقی پیش در تهران، سعادت‌آباد,۲۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵
۸۸,۱۴۰۲,۲,دقایقی پیش در تهران، دولاب,۵٬۵۴۴٬۰۰۰٬۰۰۰ تومان,۴
۱۵۷,۱۴۰۱,۳,لحظاتی پیش در تهران، سعادت‌آباد,۲۸٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱ از ۵
۷۰,۱۳۸۸,۲,دقایقی پیش در تهران، ارم,۶٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۲ از ۴
۱۲۰,۱۳۹۷,۳,دقایقی پیش در تهران، ظفر,۱۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴ از ۶
۱۰۰,۱۴۰۲,۲,دقایقی پیش در تهران، وردآورد,۲٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۱۱ از ۱۵
۸۶,قبل از ۱۳۷۰,۲,دقایقی پیش در تهران، دولت‌آباد,۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,همکف
