metraj,Sale Sakht,otagh,location,price,floor
۱۲۵,۱۳۸۵,۲,دقایقی پیش در تهران، آجودانیه، کوچه سپهری (هشتم شرقی) (کنارگذر سباری),۱۹٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱
۱۰۰,۱۳۹۷,۲,دقایقی پیش در تهران، درب دوم,۱۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱
۸۸,۱۴۰۱,۲,یک ربع پیش در تهران، اکباتان,۱۰٬۶۰۰٬۰۰۰٬۰۰۰ تومان,+۳۰
۵۱,۱۳۹۰,۱,یک ربع پیش در تهران، جوادیه,۲٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۳ از ۴
۹۹,۱۳۷۵,۱,نیم ساعت پیش در تهران، شکوفه، میدان شکوفه,۴٬۳۵۶٬۰۰۰٬۰۰۰ تومان,زیرهمکف
۴۷,۱۳۸۰,۱,دقایقی پیش در تهران، مسعودیه,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲
۶۸,۱۳۷۵,۲,نیم ساعت پیش در تهران، جنت‌آباد مرکزی، کوچه چهره خند (خ. شانزده متری اول شمالی),۶٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۱ از ۴
۱۰۷,۱۳۹۴,۲,نیم ساعت پیش در تهران، امیرآباد,۲۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲
۸۵,۱۴۰۲,۲,نیم ساعت پیش در تهران، سعادت‌آباد,۱۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱
۶۲,۱۴۰۰,۲,دقایقی پیش در تهران، مبارک‌آباد بهشتی,۱٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۴
۷۱,۱۳۹۶,۲,نیم ساعت پیش در تهران، خواجه نظام الملک، خیابان پلیس (ب. صیاد شیرازی),۵٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۲ از ۴
۱۳۳,۱۳۸۱,۳,دقایقی پیش در تهران، ایران,۱۰٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۵ از ۵
۸۹,۱۴۰۰,۲,دقایقی پیش در تهران، مبارک‌آباد بهشتی,۲٬۴۰۳٬۰۰۰٬۰۰۰ تومان,۲
۷۵,۱۳۹۹,۲,نیم ساعت پیش در تهران، شهرک راه‌آهن,۷٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۱
۵۰,۱۳۹۱,۱,دقایقی پیش در تهران، دریاچه شهدای خلیج فارس,۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۲ از ۳
۸۵,۱۳۸۷,۲,نیم ساعت پیش در تهران، ولنجک,۱۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۹
